country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","07-04-2025 18:00:00",25.560083,87.553265,PM2.5,28,67,50
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","07-04-2025 18:00:00",25.599486,85.113666,SO2,1,2,1
India,Bihar,Patna,"Samanpura, Patna - BSPCB","07-04-2025 18:00:00",25.596727,85.085624,PM2.5,74,207,148
India,Bihar,Patna,"Samanpura, Patna - BSPCB","07-04-2025 18:00:00",25.596727,85.085624,NO2,40,51,45
India,Bihar,Patna,"Samanpura, Patna - BSPCB","07-04-2025 18:00:00",25.596727,85.085624,SO2,4,6,4
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","07-04-2025 18:00:00",25.592539,85.227158,NO2,5,10,7
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","07-04-2025 18:00:00",25.610369,85.132568,NO2,13,13,13
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","07-04-2025 18:00:00",25.560083,87.553265,OZONE,3,23,17
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","07-04-2025 18:00:00",25.560083,87.553265,SO2,15,26,18
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","07-04-2025 18:00:00",30.719859,76.738637,PM10,47,140,101
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","07-04-2025 18:00:00",30.719859,76.738637,NO2,20,162,74
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","07-04-2025 18:00:00",30.719859,76.738637,CO,26,109,49
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","07-04-2025 18:00:00",21.194815,81.314770,NH3,3,4,4
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","07-04-2025 18:00:00",21.185571,81.343175,PM2.5,19,45,31
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","07-04-2025 18:00:00",21.185571,81.343175,NO2,6,9,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","07-04-2025 18:00:00",21.185571,81.343175,NH3,2,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","07-04-2025 18:00:00",24.952822,84.002396,SO2,4,5,5
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","07-04-2025 18:00:00",26.2271665,84.3570427,NH3,1,2,2
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","07-04-2025 18:00:00",30.735567,76.775714,PM2.5,40,160,95
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","07-04-2025 18:00:00",21.224231,81.408350,NH3,3,5,4
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","07-04-2025 18:00:00",22.08815,82.13737,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","07-04-2025 18:00:00",30.735567,76.775714,NO2,36,204,100
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","07-04-2025 18:00:00",30.735567,76.775714,SO2,13,40,25
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","07-04-2025 18:00:00",30.735567,76.775714,OZONE,4,242,177
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","07-04-2025 18:00:00",22.118125,83.140608,NO2,11,31,19
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","07-04-2025 18:00:00",22.368195,82.746431,PM2.5,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","07-04-2025 18:00:00",25.366336,87.117468,PM10,48,116,86
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","07-04-2025 18:00:00",25.366336,87.117468,SO2,16,17,17
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","07-04-2025 18:00:00",30.751462,76.762879,OZONE,1,102,78
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","07-04-2025 18:00:00",25.892357,86.590325,OZONE,10,47,44
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","07-04-2025 18:00:00",22.368195,82.746431,OZONE,8,29,17
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","07-04-2025 18:00:00",22.126650,83.483212,NO2,33,51,40
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","07-04-2025 18:00:00",22.126650,83.483212,CO,22,72,41
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","07-04-2025 18:00:00",22.1910172,83.5197009,PM2.5,25,66,46
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","07-04-2025 18:00:00",21.258815,81.578979,NH3,7,7,7
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","07-04-2025 18:00:00",21.258815,81.578979,CO,22,40,35
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","07-04-2025 18:00:00",21.219665,81.630094,PM2.5,7,90,41
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","07-04-2025 18:00:00",21.219665,81.630094,PM10,50,100,74
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","07-04-2025 18:00:00",21.219665,81.630094,CO,21,78,34
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","07-04-2025 18:00:00",21.237755,81.705301,PM2.5,1,2,2
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","07-04-2025 18:00:00",28.656756,77.227234,CO,30,174,58
India,Delhi,Delhi,"DTU, Delhi - CPCB","07-04-2025 18:00:00",28.7500499,77.1112615,PM10,103,426,261
India,Delhi,Delhi,"DTU, Delhi - CPCB","07-04-2025 18:00:00",28.7500499,77.1112615,NO2,30,70,48
India,Delhi,Delhi,"DTU, Delhi - CPCB","07-04-2025 18:00:00",28.7500499,77.1112615,CO,26,94,54
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","07-04-2025 18:00:00",28.498571,77.264840,PM2.5,57,423,216
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","07-04-2025 18:00:00",28.498571,77.264840,SO2,17,83,42
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","07-04-2025 18:00:00",28.5710274,77.0719006,PM2.5,48,355,219
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","07-04-2025 18:00:00",28.5710274,77.0719006,OZONE,5,220,220
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","07-04-2025 18:00:00",28.5627763,77.1180053,PM2.5,3,307,90
India,Delhi,Delhi,"Bawana, Delhi - DPCC","07-04-2025 18:00:00",28.776200,77.051074,OZONE,5,306,242
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","07-04-2025 18:00:00",28.7256504,77.2011573,NO2,1,42,17
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","07-04-2025 18:00:00",28.7256504,77.2011573,CO,28,99,52
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","07-04-2025 18:00:00",21.237755,81.705301,CO,22,49,39
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","07-04-2025 18:00:00",21.371751,81.664929,NH3,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","07-04-2025 18:00:00",22.06631475,83.33820077,OZONE,4,85,71
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","07-04-2025 18:00:00",21.371751,81.664929,OZONE,4,53,35
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","07-04-2025 18:00:00",28.647622,77.3158090,OZONE,1,33,23
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","07-04-2025 18:00:00",28.695381,77.181665,CO,17,132,30
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","07-04-2025 18:00:00",28.636429,77.201067,PM2.5,22,345,158
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","07-04-2025 18:00:00",28.636429,77.201067,CO,3,84,16
India,Delhi,Delhi,"Mundka, Delhi - DPCC","07-04-2025 18:00:00",28.684678,77.076574,SO2,6,44,21
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","07-04-2025 18:00:00",28.60909,77.0325413,OZONE,15,77,55
